Date,Low,Median,High,Symbol
1/10/2025,379.58,383.85,388.11,NICA
1/11/2025,379.16,383.85,388.54,NICA
1/12/2025,366.79,379.58,392.80,NICA
1/13/2025,366.79,385.98,396.64,NICA
1/14/2025,362.10,383.85,396.64,NICA
1/15/2025,361.24,381.72,396.64,NICA
1/16/2025,353.57,379.58,401.76,NICA
1/17/2025,348.88,379.58,400.91,NICA
1/18/2025,349.30,381.72,397.07,NICA
1/19/2025,349.73,381.72,401.33,NICA
1/20/2025,353.57,381.72,409.44,NICA
1/21/2025,349.30,381.72,414.13,NICA
1/22/2025,348.88,383.85,414.98,NICA
1/23/2025,349.30,381.72,413.70,NICA
1/24/2025,349.73,381.72,413.70,NICA
1/25/2025,348.88,379.58,409.86,NICA
1/26/2025,344.61,381.72,410.72,NICA
1/27/2025,344.61,381.72,411.14,NICA
1/28/2025,340.77,385.98,422.66,NICA
1/29/2025,336.93,383.85,427.35,NICA
1/30/2025,340.35,383.85,419.25,NICA
1/31/2025,347.17,383.85,415.84,NICA
2/1/2025,342.90,383.85,422.66,NICA
2/2/2025,338.64,381.72,426.50,NICA
2/3/2025,345.46,379.58,423.09,NICA
2/4/2025,341.62,377.45,417.97,NICA
2/5/2025,341.20,377.45,415.84,NICA
2/6/2025,345.04,377.45,422.66,NICA
2/7/2025,340.77,379.58,435.03,NICA
2/8/2025,340.77,381.72,421.81,NICA
2/9/2025,340.35,385.98,417.54,NICA
2/10/2025,336.51,381.72,417.54,NICA
2/11/2025,336.93,383.85,424.79,NICA
2/12/2025,325.42,383.85,424.79,NICA
2/13/2025,329.26,381.72,428.63,NICA
2/14/2025,332.67,379.58,432.47,NICA
2/15/2025,332.67,379.58,436.31,NICA
2/16/2025,328.83,377.45,439.72,NICA
2/17/2025,328.83,381.72,448.25,NICA
2/18/2025,328.40,379.58,444.84,NICA
2/19/2025,328.40,379.58,441.00,NICA
2/20/2025,324.56,379.58,437.59,NICA
2/21/2025,328.83,381.72,438.87,NICA
2/22/2025,329.68,381.72,436.73,NICA
2/23/2025,325.84,377.45,436.31,NICA
2/24/2025,322.01,379.58,440.15,NICA
2/25/2025,317.74,381.72,445.26,NICA
2/26/2025,314.33,381.72,474.69,NICA
2/27/2025,314.33,383.85,464.03,NICA
2/28/2025,317.74,381.72,471.71,NICA
3/1/2025,318.59,385.98,478.96,NICA
3/2/2025,317.31,388.11,478.10,NICA
3/3/2025,321.15,388.11,482.37,NICA
3/4/2025,332.67,392.38,483.22,NICA
3/5/2025,329.26,392.38,478.53,NICA
3/6/2025,324.99,392.38,478.53,NICA
3/7/2025,324.99,392.38,478.53,NICA
3/8/2025,324.99,392.38,478.96,NICA
3/9/2025,317.74,392.38,478.10,NICA
1/10/2025,586.11,594.13,598.55,EBL
1/11/2025,586.11,594.13,602.16,EBL
1/12/2025,586.11,594.13,602.16,EBL
1/13/2025,585.70,594.13,598.15,EBL
1/14/2025,577.68,594.13,606.18,EBL
1/15/2025,584.90,594.13,610.19,EBL
1/16/2025,571.65,594.13,610.59,EBL
1/17/2025,568.84,594.13,610.19,EBL
1/18/2025,567.64,592.13,610.59,EBL
1/19/2025,560.41,594.13,610.59,EBL
1/20/2025,552.38,594.13,614.61,EBL
1/21/2025,551.98,592.13,623.44,EBL
1/22/2025,551.98,592.13,633.88,EBL
1/23/2025,556.40,594.13,636.69,EBL
1/24/2025,549.17,594.13,661.98,EBL
1/25/2025,549.57,592.13,660.77,EBL
1/26/2025,564.83,594.13,653.15,EBL
