Date,Low,Median,High,Symbol
1/10/2025,379.58,383.85,388.11,NICA
1/11/2025,379.16,383.85,388.54,NICA
1/12/2025,366.79,379.58,392.8,NICA
1/13/2025,366.79,385.98,396.64,NICA
1/14/2025,362.1,383.85,396.64,NICA
1/15/2025,361.24,381.72,396.64,NICA
1/16/2025,353.57,379.58,401.76,NICA
1/17/2025,348.88,379.58,400.91,NICA
1/18/2025,349.3,381.72,397.07,NICA
1/19/2025,349.73,381.72,401.33,NICA
1/20/2025,353.57,381.72,409.44,NICA
1/21/2025,349.3,381.72,414.13,NICA
1/22/2025,348.88,383.85,414.98,NICA
1/23/2025,349.3,381.72,413.7,NICA
1/24/2025,349.73,381.72,413.7,NICA
1/25/2025,348.88,379.58,409.86,NICA
1/26/2025,344.61,381.72,410.72,NICA
1/27/2025,344.61,381.72,411.14,NICA
1/28/2025,340.77,385.98,422.66,NICA
1/29/2025,336.93,383.85,427.35,NICA
1/30/2025,340.35,383.85,419.25,NICA
1/31/2025,347.17,383.85,415.84,NICA
2/1/2025,342.9,383.85,422.66,NICA
2/2/2025,338.64,381.72,426.5,NICA
2/3/2025,345.46,379.58,423.09,NICA
2/4/2025,341.62,377.45,417.97,NICA
2/5/2025,341.2,377.45,415.84,NICA
2/6/2025,345.04,377.45,422.66,NICA
2/7/2025,340.77,379.58,435.03,NICA
2/8/2025,340.77,381.72,421.81,NICA
2/9/2025,340.35,385.98,417.54,NICA
2/10/2025,336.51,381.72,417.54,NICA
2/11/2025,336.93,383.85,424.79,NICA
2/12/2025,325.42,383.85,424.79,NICA
2/13/2025,329.26,381.72,428.63,NICA
2/14/2025,332.67,379.58,432.47,NICA
2/15/2025,332.67,379.58,436.31,NICA
2/16/2025,328.83,377.45,439.72,NICA
2/17/2025,328.83,381.72,448.25,NICA
2/18/2025,328.4,379.58,444.84,NICA
2/19/2025,328.4,379.58,441,NICA
1/10/2025,586.11,594.13,598.55,EBL
1/11/2025,586.11,594.13,602.16,EBL
1/12/2025,586.11,594.13,602.16,EBL
1/13/2025,585.7,594.13,598.15,EBL
1/14/2025,577.68,594.13,606.18,EBL
1/15/2025,584.9,594.13,610.19,EBL
1/16/2025,571.65,594.13,610.59,EBL
1/17/2025,568.84,594.13,610.19,EBL
1/18/2025,567.64,592.13,610.59,EBL
1/19/2025,560.41,594.13,610.59,EBL
1/20/2025,552.38,594.13,614.61,EBL
1/21/2025,551.98,592.13,623.44,EBL
1/22/2025,551.98,592.13,633.88,EBL
1/23/2025,556.4,594.13,636.69,EBL
1/24/2025,549.17,594.13,661.98,EBL
1/25/2025,549.57,592.13,660.77,EBL
1/26/2025,564.83,594.13,653.15,EBL
1/27/2025,568.84,594.13,655.96,EBL
1/28/2025,568.44,590.12,657.16,EBL
1/29/2025,557.2,590.12,660.77,EBL
1/30/2025,553.59,590.12,675.23,EBL
1/31/2025,556.4,586.11,664.39,EBL
2/1/2025,552.79,586.11,670.41,EBL
2/2/2025,555.19,590.12,662.78,EBL
2/3/2025,547.97,588.11,662.78,EBL
2/4/2025,547.57,598.15,662.78,EBL
2/5/2025,554.39,594.13,662.38,EBL
2/6/2025,551.58,586.11,658.77,EBL
2/7/2025,547.97,596.14,662.38,EBL
2/8/2025,547.97,584.1,658.37,EBL
2/9/2025,545.56,586.11,654.75,EBL
2/10/2025,544.76,584.1,651.54,EBL
2/11/2025,549.17,584.1,659.17,EBL
2/12/2025,544.76,576.07,656.36,EBL
2/13/2025,539.94,576.07,659.17,EBL
